मसूरी	ma suu rii
बूस्टर	buus t:ar
जाती	jaa tii
शिक्षकों	shik shhook
किए	kiei
गुड़िया	gu d:i yaa
लगातार	la gaa taar
भगवानदास	bhag vaan daas
एव्	eiv
सार्वभौम	saar va bhaum
छठवीं	chhat viin
वहन	va han
ज़ोसेफ़	joo seiph
संवितरण	san vit ran:
चाकू	chaa kuu
किवदंति	kin va dan tii
पहनता	pa han taa
घरों	gha roon
विनाशकारी	vi naash kaa rii
आपे	aa pei
चिपचिपे	chip chi pei
श्रद्धाजंलि	shrad dhaan ja li
उसका	us kaa
वहस	va has
पुनर्विचार	pun rvi chaar
कोष	koosh
आनी	aa nii
आवश्कतानुसार	aa vash yak taa nu saar
काग्रेस	kaan greis
यूरोमनी	yuu roo ma nii
मेडिटेशन	mei di t:ei shan
लोकतान्त्रिक	look tan trik
लहरों	la ha roon
स्तंभ	stambh
बही	ba hii
अहिंसात्मक	a hin saat mak
शुरुवात	shu ru vaat
करायी	ka raa yii
श्रीधर	shrii dhar
स्नस	sans
अनिरुद्ध	a ni ruddh
अन्तर्प्रान्तीय	an tar praan tiiy
स्वरुप	sva rup
वाली	vaa lii
इज़हार	i ja haar
बुद्धिष्ठ	bud dhisht:
तिहरे	ti ha rei
शुरुआती	shu ruaa tii
आपत्ति	aa pat ti
नकद	na kad
सितारों	si taa roon
साक्षी	saak shii
एएनआर	eiei naar
गाँधीजी	gaan dhii jii
प्रयोक्ता	pra yookt
आँखों	aan khoon
श्रेष्ठता	shreishh thtaa
जमाना	ja maa naa
सीमंस	sii mams
जेल	jeil
आईसीसी	aaii sii sii
जेब	jeib
पीपुल	pii pul
वैमानिकी	vai maa ni kii
जहा	ja haa
जमानत	ja maa nat
बगीचे	ba gii chei
बेलीराम	bei lii raam
डीएनए	diiei nei
शिववर्मा	shi va var maa
मन्दिरों	man di roon
किशोरवस्था	ki shhoo raa vas thaa
जेट	jeit
कृपया	
अकर्मण्यता	a kar man yat
मिनरल	min ral
गतिहीन	ga ti hiin
बाजूएँ	baa juuein
विलक्षण	vi lak shhan:
ताकि	taa ki
बेखौफ	bei khauf
मैचों	mei choon
पत्नियॉ	pat ni yaan
उपरान्त	u pa rant
डिक्सी	dik sii
ताकत	taa kat
निक्षेप	nik shheip
कोयले	kooy lei
तिरुअनन्तपुरम्	ti tu ra na pum tar
शांति	shaan ti
अलमोरा	al moo raa
एसएनडीटी	a sa nei niit: sii
वालो	vaa loon
स्तनधारी	stan dha rii
जहरीलेपन	jah rii lei pan
मशीनरी	ma shii na rii
तुम्हें	tum hei
वेशिन	vei shin
बिगड़े	bi ga d:ei
बंधक	ban dhak
व्यवस्थित	vya vas thit
बिगड़ी	bi ga d:ii
बिनोदिनी	bi noo di nii
नजर	na jar
स्ट्राँग	st:raang
फैक्टरियों	phaik t:ri yoon
प्रतच्छ	pa ratch
धमक	dha mak
कदम	ka dam
गुना	gu naa
संप्रभु	sam pra bhu
फिन	phin
प्रेसीडेंसी	prei si d:ein sii
कार्यशाला	kaar ya shaa laa
घटाओ	gha t:aaoo
अन्तर	an tar
जुड़ना	jud: naa
दयालु	da yaa lu
हेल्थ	heilth
शाखा	shaa khaa
ड्रग्स	d:rags
नाहिं	na hiin
शांतिपूर्णं	shaan ti puurn:
आखिरी	aa khi rii
देवता	deiv taa
रिकार्डेड	ri kar d:eid:
दोहरी	dooh rii
ढोल	d:hool
बजाये	ba jaa yei
होरेस	hoo reis
हड़ताल	had: taal
सनातन	sa naa tan
रज	raj
वारंट	vaa rant:
बलिदान	ba li daan
जुल्लु	jul lu
सांठगांठ	saan thgaanth
प्लम्बिंग	plam bing
प्रताड़ना	pra taad: naa
फगवाह	pha ga vaah
सीनियर्स	si nii yar
समझे	sam jhei
चुना	chu naa
परिमाण	pa ri maan:
सुहाग	su haag
उकासने	uk saa nei
बूंदा	buun daa
बीएसएफ	biiei seiph
छत्रपति	chat ra pa ti
उत्तरदायित्व	ut tar daa yitv
झंडारोहड़	
बसोकुंड	ba soo kund:
सहयोगी	sah yoo gii
बदलता	ba dal taa
मथुरादास	ma thur daas
विजेता	vi jei taa
अनुवाद	a nu vaad
झोंजे	jhoon jei
भगीरथी	bha gii ra thii
सन्दूक	san duuk
अष्ट	ashht:
प्रजनन	pra ja nan
युवाओं	yu vaaoon
हुक्म	hukm
पुरखों	pur khoon
धूमकेतु	dhuum kei tu
डूब	d:uub
लार्ड	laard:
मनी	ma nii
शेंकल	shein kal
कल्याणक	kal yaa nak
सिविल	si vil
वीलियम	vii li yam
फिरोज़पुर	phi rooj pur
पेस्ट	peist:
हाँग	haang
हाँक	haank
बड़ौदा	ba d:au daa
दूरदर्शिता	duur drisht
कौमुदी	kau mu dii
सर्दी	sar dii
लिखते	likh tei
वहीउद्दीन	va hiiud diin
जैसे	jai sei
हत्या	hat yaa
निवेश	ni veish
पात	paat
आज्ञाकारिता	aaj yaa raa kit
ऊँचाईयों	uun chaa nii yoon
खेतों	khei toon
प्रमाण	pra maan:
खरीदा	kha rii daa
सिक्ख	sikkh
ब्रह्मांण	brah maan
ब्रह्मांड	brah maand:
असमर्थता	a sa mar tha taa
गोरो	goo roon
बिल्डिंगों	bil d:in goon
अँधेपन	an dhei pan
लालित्यपूर्ण	laa lit ya puurn:
तौशाखाना	tau shaa khaa naa
पहन	pa han
महत्ता	ma hat taa
गोरी	goo rii
नियुक्तियाँ	ni yuk ti yaan
शक्तिहीन	shak ti hiin
गोरे	goo rei
वैगई	vai gii
सन्तोष	san toosh
न्यौछावर	nyau chhaa var
पहल	pa hal
लैडफिलों	laid: phi loon
अश्वजीत	ash va jiit
गाज़ियाबाद	gaa ji yaa baad
अकबर	ak bar
मंगल	man gal
एम्निओसेंटेसिस	eim noon sis t:ei la
प्रतिक्षा	pra tik shhaa
आसीन	aa siin
सेस	seis
राजपत्रित	raaj pat rit
बेंजामिन	bein jaa min
टिम्बर	t:im bar
पडता	pad: taa
सेल	seil
चादर	chaa dar
उत्तराखंड	ut ta raa khand:
फेंकते	phein kte
तटों	ta t:oon
हूमन	huu man
सेब	seib
भागते	bhaag tei
सेठ	sei
धमकाने	dham kaa nei
एलडो	eil d:oon
चाँद	chaand
एचएसआरए	ei chei saa rei
सेज	seij
अनेकों	a nei koon
कम्पनी	kam pa nii
छड़ियों	chha d:i yoon
इस्तीफे	is tii phei
बनने	ba na nei
महिने	ma hii nei
रसायनशास्त्री	ra saa yan shaas trii
सेई	sei
अश्वयुजा	ash va yu jaa
लिंह	linh
वैयक्तिक	vai yak tik
प्यारी	pyaa rii
फाड़	phaad:
सें	sein
चेयर	chei yar
प्रौद्योगिकीकरण	
मुथर	mu thar
प्रसवपूर्व	pra sav puurv
नफ़रत	naph rat
वर्षा	var shhaa
ज्योतिष	jyoo tishh
निर्दयतापूर्वक	nir da ya taa puur vak
कीचड़	kii chad:
इनसे	in sei
धरनों	dhar noon
दिवारों	di vaa roon
लंकेश्वर	lan keish var
असहयेग	a sah yoog
प्रेरणास्रोत	prei ra n:as root
चाहियें	chaa hi yei
भूपेन्द्र	
प्रद्त्त	pra datt
कवच	ka vach
बढ़ाता	ba d:haa taa
दौङे	dau dei
अमार	a maar
कितनों	kit noon
परताप	pra taap
उड़ाने	u d:aa ne
परावर्तन	pa raa var tan
संसाधक	san saa dhak
नेशन	nei shan
घातक	ghaa tak
आन्दोलन	aan doo lan
दीर्घ	diirgh
आतंकवाद	aa tan kvaad
वरदां	var daan
वनीकीकरण	va nii kii ka ran:
क्रमानुयायी	
मौहम्मद	mau ham mad
विवादस्पद	vi vaa daas pad
हैरिसन	hei ri san
करुंगा	ku ran gaa
बमबारी	bam baa rii
त्रेतायुग	trei taa yug
धमकते	dha mak tei
संगठित	san ga thit
वृद्ध	vriddh
वर्षः	var shaa
टीएफआई	t:iiei phaai
बचाता	ba chaa taa
शुभारम्भ	shu bhaa rambh
सुनी	su nii
ढक	d:hak
चक्रिय	chak ri ya
कूगं	kuung
हैदराबाद	heid raa baad
बिल्डिंग	bil d:ing
बचाओ	ba chaaoon
खदेड़	kha deid:
समिति	sa mi ti
वार्षिकोत्सव	vaar shhi koot sav
बचाई	ba chaaii
बजे	ba jei
निषेधात्मक	ni shei dhaat mak
जिम्मेदार	jim mei daar
मेहता	meiht
कृति	kri ti
दबाना	da baa naa
प्रकाशमान	pra kaash maan
क्रिश्चन	krish chan
समझाओं	sam jhaaoon
पकड़ती	pa kad: tii
गुरुद्वारों	gu rud vaa roon
सैन	sain
ढ़के	d:ha kei
भिवानी	bhi vaa nii
जुर्म	jurm
सन्तानें	san taa nein
अभिषेक	a bhi sheik
कमजोरों	kam joo roon
आशुतोष	aa shu tooshh
शिकार	shi kaar
माइकल	maai kal
रुकते	ruk tei
आकर्षणों	aa kar shn:oon
डॉयरी	d:ai rii
सैर	sair
एकता	eik taa
दुसरे	duus rei
मेरा	mei raa
निरक्षण	ni rak shhan:
कौवा	kauv
जलूसगणपति	lu ja sa gap ti na
डाईनिंग	d:aai ning
परिवारऔर	pa ri va raur
दिशानिर्देशित	di shaa nir dei shit
लैंगिक	lain gik
अच्छा	ach chhaa
निरक्षर	ni rak shar
मरणोंपरांत	mar noop raant
डायमंड	d:aay mand:
अरबी	ar bii
पेट्रोलियम	peit: roo li yam
बानों	baa noon
आदिवासी	aa di vaa sii
निरुपित	ni ru pit
मेरठ	mei rat:h
एडमिशन	eid: mii shan
जन्तु	jan tu
कलाकृतियों	ka laak ri ti yoon
अश्वेतों	ash vei toon
शत्रुओं	shat ruoon
खाकर	khaa kar
वायुमंडल	vaa yu man d:al
प्रतिद्वंधी	pra tid van dii
पढ़ाकू	pa d:haa kuu
तवैन	ta vain
आत्मनिर्भरता	aat ma nir bhar taa
लगाने	la gaa nei
खोलता	khool taa
सेकेंण्ड	sei keind:
जीसस	jii sas
डलहौजी	d:al hau jii
मानसिकता	maan sik taa
अवरोधी	av roo dhii
ये	yei
यू	yuu
बुआ	buaa
अपभोग	ap bhoog
पलट	pa lat:
विमन्स	vi mans
डाँटते	d:aan t:tei
कर्जन	kar jan
करीमनगर	ka riim na gar
गणतंत्रता	gan: tantr
मच्छरों	mach chha roon
राजाओं	raa jaaoon
हैईश्वर	haiiish var
विरासत	vi raa sat
धरोहर	dha roo har
कृपाशंकर	kri paa shan kar
जूतें	juu tei
सूचीबद्ध	suu chii baddh
संबत	sam bat
राजनेताओं	raaj nei taaoon
अतिसंवेदनशील	a ti san vei dan shiil
इंजीनियरों	in jii ni ya roon
सतह	sa tah
बदल	ba dal
मैसूर	mai suur
पंण्डाल	pan d:aal
शिष्ट	shishht:
कराती	ka raa tii
कवि	ka vi
जानाः	jaa naa
मारता	maar taa
जातिय	jaa tiiy
छापेमारी	chhaa pei maa ri
कांपने	kaam pnei
बुल	bul
चमकाने	cham kaa nei
बिनी	bi nii
राजसी	raa ja sii
विचार	vi chaar
चेष्ठा	cheishht:h
ताइवान	taai vaan
तारीख़	taa riikh
पुराणों	pu raa n:oon
मलाईदार	ma laaii daar
प्रचार	pra chaar
वर्धक	var dhak
सावन	saa van
सतहीय	sa ta hiiy
अस्वस्थ	as vasth
पिलाते	pi laa tei
पिलाती	pi laa tii
प्रिय	priy
अटल	a t:al
अस्तर	as tar
कैलेंड़र	kai lein d:ar
सोलोमन	soo loo man
बलवीरा	bal viir
अवसर	av sar
खोती	khoo tii
अर्थशास्त्र	ar
अनिष्ट	a nishht:
सशर्त	sash rat
अनोपयोगी	a noop yoo gii
तङप	ta dap
ऐच्छिक	aich chhik
नौरोजी	nau roo jii
घूरा	ghuur
अंतर्ज्ञान	at nra ja taamy
अस्पताल	as pa taal
स्वामीनाथन	svaa mii naa than
उलझे	ul jhei
वीएनभावे	viiein bhaa vei
विहीन	vi hiin
बेजवाड़ा	beij vaa d:aa
शिक्षाविद्	shik shhaa vid
असंभव	a sam bhav
